وكان	O
مجال	O
البحث	O
الذي	O
شغل	O
به	O
كثير	O
من	O
العلماء	O
هو	O
تحويل	O
عنصر	O
إلى	O
آخر	O
كما	O
كان	O
الأمر	O
في	O
القرون	O
السابقة	O
عندما	O
حاولوا	O
تحويل	O
الرصاص	B-MISC
إلى	O
ذهب	B-MISC
فذهبت	O
كل	O
محاولاتهم	O
سدى	O
. O
في	O
الربع	O
النهائي	O
فازت	O
البرتغال	B-LOC
على	O
تركيا	B-LOC
1	O
0	O
بهدف	O
لنونو	B-PERS
غوميش	I-PERS
وفي	O
النصف	O
النهائي	O
أوقفت	O
الديكة	O
الفرنسية	O
البرتغال	B-LOC
عند	O
حدها	O
بهدفين	O
لواحد	O
. O
و	O
مع	O
أن	O
إم	B-ORG
. O
حيث	O
وقع	O
البرتغال	B-LOC
وجها	O
لوجه	O
مع	O
البرازيل	B-LOC
هنغاريا	B-LOC
وبلغاريا	I-LOC
في	O
دور	O
المجموعات	O
. O
3	O
و	O
يمكنك	O
الحصول	O
على	O
الدليل	O
الخاص	O
به	O
من	O
موقع	O
خلال	O
سنوات	O
الثمانينات	O
اصدرت	O
شركة	O
Sun	B-MISC
Microsystems	I-MISC
نظام	B-MISC
تشغيل	I-MISC
خاص	O
يسمى	O
SunOS	B-MISC
المتوافق	O
مع	O
BSD	B-MISC
كما	O
ذكرنا	O
من	O
قبل	O
. O
بعد	O
تأسيس	O
النادي	O
في	O
عام	O
1902	O
كان	O
الفريق	O
يستخدم	O
بعض	O
الملاعب	O
البسيطة	O
في	O
مدريد	B-LOC
للعب	O
المباريات	O
حتى	O
انتقل	O
لأول	O
ملعب	O
كان	O
اسمه	O
ملعب	O
ODonnell	O
في	O
عام	O
1912	O
. O
بالذهاب	O
من	O
القدرات	O
شديدة	O
البساطة	O
الخاصة	O
بأمر	O
لغة	O
آلة	O
واحد	O
إلى	O
القدرات	O
الضخمة	O
للبرامج	O
التطبيقية	O
يعني	O
أن	O
الكثير	O
من	O
برامج	O
الحاسوب	O
تكون	O
كبيرة	O
جدا	O
و	O
معقدة	O
للغاية	O
. O
أو	O
ما	O
يعرف	O
بالكتلة	O
الحرجة	O
. O
طول	O
الجامع	O
138	O
مترا	O
وعرضه	O
